Titolo;Autore;Author_;Genere;Vote;DateRead;Commento
Micro:bit for Mad Scientists: 30 Clever Coding and Electronics Projects for Kids;Simon Monk;Monk, Simon;steam;;;
Educazione e pace;Maria Montessori;Montessori;edu;;;
I sette saperi necessari al futuro dell’educazione;Edgar Morin;Morin;edu;1;;
Introduction to Using Games in Education: A Guide for Teachers and Parents;Dave Moursund;Moursund, Dave;gamedesign;;;
Parents Guide to Computers in Education;Dave Moursund;Moursund, Dave;gamedesign;;;
Arte come mestiere;Bruno Munari;Munari, Bruno;essay;;;
Da cosa nasce cosa: Appunti per una metodologia progettuale;Bruno Munari;Munari, Bruno;essay;1;;
Design e comunicazione visiva: contributo a una metodologia didattica;Bruno Munari;Munari, Bruno;essay;;;
Fantasia;Bruno Munari;Munari, Bruno;essay;1;;
Futuro no lineal;Akop Nazaretiàn;Nazaretiàn, Akop;essay;;;
Being Digital;Nicholas Negroponte;Negroponte;steam;1;;
Game-Based Learning;Romina Nesti;Nesti;gamedesign;;;
Così Parlò Zarathustra;Friedrich Nietzsche;Nietzsche, Friedrich;essay;1;;
La Gaia Scienza;Friedrich Nietzsche;Nietzsche, Friedrich;essay;1;;
Artificial Intelligence - A Modern Approach;Peter Norvig, Stuart Russell;Norvig;ai;1;;
Frammenti;Novalis;Novalis;essay;1;;
Inni alla notte;Novalis;Novalis;essay;;1989/01/01;
Essere una macchina - un viaggio attraverso cyborg, utopisti, hacker e futurologi;Mark O'Connell;O'Connell, Mark;steam;;;
Città dell'uomo;Adriano Olivetti;Olivetti, Adriano;essay;;;
Democrazia senza partiti;Adriano Olivetti;Olivetti, Adriano;essay;;;
Il cammino della Comunità;Adriano Olivetti;Olivetti, Adriano;essay;1;;
Frammenti di un insegnamento sconosciuto;P.D. Ouspensky;Ouspensky, P.D.;essay;1;;
La quarta via;P.D. Ouspensky;Ouspensky, P.D.;essay;;;
Brain Games For Dummies;Timothy E. Parker;Parker, Timothy E.;gamedesign;;;
Il mattino dei maghi;Pauwels, Bergier;Pauwels, Bergier;essay;;;
Chaos and Fractals: New Frontiers of Science;Peitgen, Jürgens, Saupe ;Peitgen, Jürgens, Saupe ;steam;1;;
The Emperor's New Mind;Roger Penrose;Penrose, Roger;steam;1;;
The Road to Reality;Roger Penrose;Penrose, Roger;steam;;;
Ivrea. Guida alla città di Adriano Olivetti;Marco Peroni;Peroni, Marco;essay;;;
Il Satiricon;Petronius;Petronius, Petronius;novel;;1994/01/01;
A Composer's Guide to Game Music;Winifred Phillips;Phillips, Winifred;steam;;;
I Versi d'Oro;Pitagora;Pitagora;classic;1;;
Handbook of Game-Based Learning;Jan Plass, Richard Mayer, Bruce Homer;Plass;gamedesign;;;
Tutte le opere;Platone;Platone;classic;1;;
Enneadi;Plotino;Plotino;classic;1;;
Democrazia a sorte: Ovvero la sorte della democrazia;Alessandro Pluchino, Maurizio Caserta, Cesare Garofalo, Andrea Rapisarda, Salvatore Spagano;Pluchino;essay;;;
La firma della complessità;Alessandro Pluchino;Pluchino;essay;1;;
Tutti i racconti, le poesie e Gordon Pym;Edgar Allan Poe;Poe, Edgar Allan;novel;;;
Game On? Brain On!: The Surprising Relationship between Play and Gray (Matter) ;Lindsay Portnoy;Portnoy;gamedesign;;;
Il Rapporto Tokarev;Salvatore Puledda;Puledda;novel;1;;
Un umanista contemporaneo;Salvatore Puledda;Puledda;essay;1;;
His Dark Materials;Philip Pullman;Pullman, Philip;novel;;;
La profezia di Celestino;James Redfield;Redfield;novel;1;;
The Empathic Civilization: The Race to Global Consciousness in a World in Crisis;Jeremy Rifkin;Rifkin, Jeremy;essay;1;;
